hometown,country
"Norristown, PA",USA
"Ridley, PA",USA
"Harleysville, PA",USA
"Wenatchee, WA",USA
"Feasterville, PA",USA
"Aldan, PA",USA
"Pearl City, HI",USA
"Glen Burnie, MD",USA
"Reading, PA",USA
"Coopersburg, PA",USA
"Waukesha, WI.",USA
"Rahway, N.J.",USA
"Moorestown, N.J.",USA
"Preston, Minn.",USA
"Shickshinny, PA",USA
"Morton, PA",USA
"Bushkill, PA",USA
"Boothwyn, PA",USA
"Orchard Park, NY",USA
"Winchester, VA",USA
"Califon, NJ",USA
"Coeymans Hollow, NY",USA
"King's Park, NY",USA
"West Chester, PA",USA
"Fayetteville, PA",USA
"Lynbrook,NY",USA
"East Setauket, NY",USA
"Litiz, PA",USA
"Farmingdale, NY",USA
"Williston Park, NY",USA
"Exeter, N.H.",USA
"Meredith, N.H.",USA
"Wilmington, NC",USA
"Seven Lakes, NC",USA
"Gatesville, NC",USA
"Roanoke Rapids, NC",USA
"Apex, NC",USA
"Climax, NC",USA
"Creedmoor, NC",USA
"Wake Forest, NC",USA
"Oxford, NC",USA
"West Friendship, MD",USA
"Cary, NC",USA
"Rockingham, NC",USA
"Dry Fork, VA",USA
"Jacksonville, NC",USA
"Beulaville, NC",USA
"Lindenhurst, IL",USA
"Albermarle, NC",USA
"Outer Banks, NC",USA
"Nashville, NC",USA
"Johnston County, NC",USA
"Cape Coral, FL",USA
"St. Marys, W. Va.",USA
"Elverson, PA",USA
"Quakertown, PA",USA
"Glen Rock, PA",USA
"Brick, NJ",USA
"Myerstown, PA",USA
"Bethel, CT",USA
"Hilo, HI",USA
"Nunda, NY",USA
"Bogart, GA",USA
"Ithaca, NY",USA
"Chambersburg, PA",USA
"Fayetteville, NY",USA
"Kenyon, MN",USA
"Adelanto, CA",USA
"Corona, CA",USA
"Chesapeake, OH",USA
"Geneseo, NY",USA
"Covington, WA",USA
"Santa Fe, NM",USA
"Erie, PA",USA
"Surprise, AZ",USA
"Concord, N.C.",USA
"Pittsford, N.Y.",USA
"Willemstad, Curaçao",USA
"Morrisonville, NY",USA
"Mooresville, NC",USA
"Harrisville, WV",USA
"Fairibault, Minn.",USA
"North Myrtle Beach, S.C.",USA
"Jarvisburg, N.C.",USA
"Mechanicsville, VA",USA
"Long Island, NY",USA
"Mechanicsburg, PA",USA
"Easton, PA",USA
"Waverly, NY",USA
"Warminster, PA",USA
"Wayne, PA",USA
"Conroe, TX",USA
"Lumberton, NJ",USA
"West Caldwell, NJ",USA
Moodus,USA
"Thornwood, NY",USA
"Easthampton, MA",USA
"Warwick, RI",USA
"Bowie, MD",USA
"Windham, NH",USA
"Trevor, WI",USA
"West Point, NY",USA
"Montebello, NY",USA
"Centereach, NY",USA
"Billings, MT",USA
"Richland, WA",USA
"Farmington, MN",USA
"Castle Rock, CO",USA
"Claremont, CA",USA
"Harbor City, CA",USA
"Pocatello, ID",USA
"Portales, N.M.",USA
"Lovington, N.M.",USA
"Tucumcari, N.M.",USA
"Cilo, Mich.",USA
"LaPorte, Texas",USA
"Sinclaireville, N.Y.",USA
"Canandaigua, N.Y.",USA
"Troy, N.Y.",USA
Endicott N.Y.,USA
"Candor, NY",USA
"Farmingdale, N.Y.",USA
"Swampscott, MA",USA
"Sandy Creek, N.Y.",USA
"Pine City, N.Y.",USA
"Endicott, N.Y.",USA
"Johnson City, N.Y.",USA
"Red Hook, NY",USA
"Slate Hill, N.Y.",USA
"Bainbridge, N.Y.",USA
"Lancaster, S.C.",USA
"Hermtiage, Tenn.",USA
"Sparta, N.C.",USA
"South Brunswick, NJ",USA
"Piscataway, NJ",USA
"Hackensack, NJ",USA
"Randolph, NJ",USA
"Lyndhurst, NJ",USA
"Cherry Hill, N.J.",USA
"Mountainside, NJ",USA
"Staten Island, NY",USA
"Wayne, NJ",USA
"New Milford, NJ",USA
"Cedar Park, TX",USA
"Monroe Township, NJ",USA
"Mahwah, NJ",USA
"Middlesex, Va.",USA
"Cherokee, N.C.",USA
"Scotch Plains, N.J.",USA
"Pendleton, N.Y.",USA
"Fairport, N.Y.",USA
"Chanhassen, Minn.",USA
"Savannah, Texas",USA
"Arden, N.C.",USA
"Gurabo, PR",USA
"Troy, IL",USA
"Mayville, NY",USA
"North Collins, NY",USA
"Springfield, VA",USA
"Jamestown, N.Y.",USA
"Hamburg, N.Y.",USA
"Eden, N.Y.",USA
"Huntington Station, N.Y.",USA
"North Tonawanda, N.Y.",USA
"Clarence Center, N.Y.",USA
"Springville, N.Y.",USA
"Lake View, N.Y.",USA
"Asheville, N.Y.",USA
"Fountain, CO",USA
"Chesapeake Beach, MD",USA
"Odenton, MD",USA
"Bolingbrook, IL",USA
"Marysville, MI",USA
"Natick, MA",USA
"Cumberland, MD",USA
"Emmaus, PA",USA
"Clarksburg, MD",USA
"Keyser, W.Va.",USA
"Pickerington, OH",USA
"Moon Township, PA",USA
"Nashua, NH",USA
"Lake Orion, MI",USA
"Austin, TX.",USA
"Longmont, CO.",USA
"New Berlin, WI.",USA
"Northville, MI.",USA
"Demarest, N.J.",USA
"Chester, N.J.",USA
"Marlboro, N.J.",USA
"Center Valley, PA",USA
"Garnet Valley, PA",USA
"Clinton, NJ",USA
"Washington, MI",USA
"Kennett Square, PA",USA
"Metuchen, NJ",USA
"Drexel Hill, PA",USA
"West Grove, PA",USA
"Skillman, NJ",USA
"Media, PA",USA
"Columbus, NJ",USA
"Arlington, TX",USA
"Grapevine, TX",USA
"Cedar Hill, TX",USA
"Pearland, TX",USA
"Killeen, TX",USA
"Raleigh, NC",USA
"Oconomowoc, WI",USA
"Centerburg, OH",USA
"Grand Meadow, Minn.",USA
"Blooming Prairie, Minn.",USA
"Mayer, Minn.",USA
"Byron, Minn.",USA
"Saint Peter, Minn.",USA
"Steele, N.D.",USA
"Richfield, Minn.",USA
"Vadnais Heights, Minn.",USA
"Camp Hill, PA",USA
"Lisbon, OH",USA
"Keyser, WV",USA
"Mount Joy, PA",USA
"Lancaster, PA",USA
"Brecksville, OH",USA
"Colorado Springs, CO",USA
"Greencastle, PA",USA
"Bidwell, OH",USA
"Galena, OH",USA
"Fort Leonard Wood, MO",USA
"Altoona, PA",USA
"Fayette City, PA",USA
"Monaca, PA",USA
"Millersburg, OH",USA
"Wanamingo, Minn.",USA
"North St. Paul, Minn.",USA
"St. Louis Park, Minn.",USA
"New Ulm, Minn.",USA
"Sioux Falls, SD.",USA
"Fairbault, Minn.",USA
"Westphalia, MI",USA
"Mount Pleasant, N.C.",USA
"West Creek, N.J.",USA
"Lexington, N.C.",USA
"Etowah, N.C.",USA
"Flora, Ind.",USA
Team IMPACT Honorary Member,USA
"Acworth, GA",USA
"Boca Raton, FL",USA
"Winder, GA",USA
"Woodstock, GA",USA
"Shalimar, FL",USA
"Hoschton, GA",USA
"Alpharetta, GA",USA
"Athens, GA",USA
"Stockbridge, GA",USA
"Stuart, FL",USA
"Gastonia, NC",USA
"Kennesaw, GA",USA
"Perry, FL",USA
"Manorville, NY",USA
"Hudson Falls, N.Y.",USA
"Rockaway Beach, N.Y.",USA
"Hogansburg, N.Y.",USA
"Kapolei, HI",USA
"Candor, N.Y.",USA
"Newburgh, N.Y.",USA
"Oneonta, N.Y.",USA
"Owego, N.Y.",USA
"Hopewell Junction, N.Y.",USA
"Brewster, N.Y.",USA
"El Dorado Hills, CA",USA
"Salem, OR",USA
"Baker City, OR",USA
"Tracy, CA",USA
"Frazier Park, CA",USA
"Salt Lake City, UT",USA
"Pikeville, NC.",USA
"Albuquerque, NM",USA
"Hazelton, ID",USA
"Folsom, CA",USA
"Valley Center, KS",USA
"Mountain Grove, MO",USA
"Willard, MO",USA
"Springdale, AR",USA
"Edmond, OK",USA
"Buckeye, AZ",USA
"Clearwater, KS",USA
"Liberty, MO",USA
"Ash Grove, MO",USA
"Tulsa, OK",USA
"Antioch, IL",USA
"Wadena, Minn.",USA
"Nevis, Minn.",USA
"Fosston, Minn.",USA
"Zumbrota, Minn.",USA
"Brandon, Minn.",USA
"Gonvick, Minn.",USA
"Henrico, Va.",USA
"Webster, N.Y.",USA
"Pittsboro, N.C.",USA
"Pilot Mountain, N.C.",USA
"Austintown, Ohio",USA
"Sunnyside, NY",USA
"Woodhaven, NY",USA
"Cortland Manor, NY",USA
"Forest Hills, NY",USA
"Santa Cruz,CA",USA
"Bronx, NY",USA
"Elmhurst, NY",USA
"Middletown, NY",USA
"Grand Haven, MI",USA
"Monroe, NJ",USA
"New Hyde Park, NY",USA
"Fairfield, CT",USA
"Rexburg, ID",USA
"Fountain Valley, CA",USA
"Janesville, IA",USA
"Highland Ranch, CO",USA
"Tooele, UT",USA
"Layton, UT",USA
"Lancaster, CA",USA
"Ste. Genevieve, Mo.",USA
"Old Bethpage, N.Y.",USA
"Berkeley Heights, N.J.",USA
"McCordsville, Ind.",USA
"Rock Hill, S.C.",USA
"Shawnee, Kansas",USA
"Oshkosh, WI",USA
"Little Falls, MN",USA
"Grand Meadow, MN",USA
"Staples, MN",USA
"Genoa City, WI",USA
"Shoreview, MN",USA
"Hinckley, MN",USA
"San Angelo, TX",USA
"Princeton, MN",USA
"Petersburg, AK",USA
"Columbia Falls, MT",USA
"Rexford, MT",USA
"Fort Akinson, WI",USA
"Bellwood, PA",USA
"Fontana, Wis.",USA
"Portage, PA",USA
"York, PA",USA
"Carrolltown, PA",USA
"Mankato, Minn.",USA
"Monticello, MN",USA
"Hartland, MN",USA
"Andover, MN",USA
"Austin, MN",USA
"Arco, MN",USA
"Virginia, Minn.",USA
"Stillwater, MN",USA
"Willmar, MN",USA
"St. Paul, MN",USA
"Chisholm, MN",USA
"Blaine, MN",USA
"Altoona, IA",USA
"Appleton, WI",USA
"Lakeville, MN",USA
"Argyle, MN",USA
"Spearfish, SD",USA
"Bloomington, MN",USA
"Wanamingo, MN",USA
"Rhome, TX",USA
"San Ramon, CA",USA
"Champlin, MN",USA
"West Salem, WI",USA
"Washington, N.J.",USA
"Lansing, KS",USA
"Derby, KS",USA
"Monument, CO",USA
"Ponder, TX",USA
"Whitewater, KS",USA
"Garnett, KS",USA
"Osawatomie, KS",USA
"Thorton, CO",USA
"Lawrence, KS",USA
"Shelocta, PA",USA
"Duluth, MN",USA
"East Liverpool, OH",USA
"Conneautville, PA",USA
"Carmichaels, PA",USA
"Weston, FL",USA
"Louisville, OH",USA
"Harmonsburg, PA",USA
"Coraopolis, PA",USA
"Norton, OH",USA
"South Setauket, NY",USA
"Nicktown, PA",USA
"Cochranton, PA",USA
"Vermilion, OH",USA
"Fargo, ND",USA
"Port Arthur, TX",USA
"Saint Johnsbury, VT",USA
"Norwalk, CA",USA
"Vergennes, VT",USA
"Levittown, NY",USA
"Middletown, DE",USA
"Winooski, VT",USA
"Morrisville, N.Y.",USA
"Vestal, N.Y.",USA
"Smyrna, N.Y.",USA
"Cortland, N.Y.",USA
"Canastota, N.Y.",USA
"Nisswa, Minn.",USA
"Monroe, N.Y.",USA
"Medina, N.Y.",USA
"LaMoille, Ill.",USA
"Tuxedo, NY",USA
"Langhorne, PA",USA
"Verona, NJ",USA
"Bristol, CT",USA
"Boonton, NJ",USA
"Jefferson, NJ",USA
"Rockaway, NJ",USA
"Roxbury, NJ",USA
"Clark, NJ",USA
"North Hampton, N.H.",USA
"Woodbury, MN.",USA
"Temple, TX.",USA
"Trinity, FL",USA
"Atlanta, GA.",USA
"Humble, TX",USA
"Fort Smith, AR",USA
"Lee's Summit, MO",USA
"Van Buren, AR",USA
"DeFuniak Springs, Fla.",USA
"Cedar Rapids, IA",USA
"Parkville, MO",USA
"Waterloo, IL",USA
"Hutchinson, KS",USA
"Chanhassen, MN",USA
"Urbandale, IA",USA
"Columbia, MO",USA
"Nevada, IA",USA
"Highland, IL",USA
"New Carlisle, OH",USA
"Sycamore, IL",USA
"Dover, DE",USA
"Liberty Township, OH",USA
"Canton, MI",USA
"Bridgman, MI",USA
"Minot, N.D.",USA
"Ada, Minn.",USA
"Bedford, MI",USA
"McLane, Pa.",USA
"Kitchener, Ont.",USA
"Paynesville, Minn.",USA
"Lakefield, Minn.",USA
"Racine, Wis.",USA
"Meadow, S.D.",USA
"Birch Run, MI",USA
"Euless, TX",USA
"Littleton, CO",USA
"Lucas, TX",USA
"Decatur, IL",USA
"St. Charles, MO",USA
"Terre Haute, IN",USA
"Bartelso, IL",USA
"Carbondale, IL",USA
"Oswego, IL",USA
"Saint Joseph, MO",USA
"Woodlawn, IL",USA
"Hobart, IN",USA
"Chino, CA",USA
"Eastlake, OH",USA
"Beachwood, OH",USA
"Pataskala, OH",USA
"Lima, OH",USA
"Novelty, OH",USA
"Ewa Beach, HI",USA
"Lancaster, OH",USA
"Parma, OH",USA
"Amherst, OH",USA
"Waco, N.C.",USA
"Beaufort, S.C.",USA
"Houghton, NY",USA
"Jamestown, NY",USA
"Bliss, NY",USA
"Shinglehouse, PA",USA
"Orville, OH",USA
"Youngstown, NY",USA
"Bergen, NY",USA
"Montgomery, N.J.",USA
"South Jordan, UT",USA
"St. Louis, MO",USA
"Winston-Salem, NC",USA
"North Chesterfield, VA",USA
"Gold Canton, AZ",USA
"Nephi, UT",USA
"Mesa, AZ",USA
"Brandon, FL",USA
"Avon, CT",USA
"Mission Viejo, CA",USA
"Eugene, OR",USA
"Brewster, NY",USA
"Lowville, NY",USA
"Sandy Creek, NY",USA
"Stillwater, NY",USA
"Bath, NY",USA
"Mansfield, TX",USA
"Plattsburgh, NY",USA
"Stow, OH",USA
"Watertown, NY",USA
"South Edmeston, NY",USA
"Adams, NY",USA
"Indian Trail, N.C.",USA
"Harrisonville, MO",USA
"Hunstville, Ala.",USA
"Elloree, S.C.",USA
"Southampton, N.J.",USA
"Casstown, OH",USA
"Bluffton, SC",USA
"Greer, SC",USA
"Tuscaloosa, AL",USA
"Naples, FL",USA
"Orange County, CA",USA
"Coconut Creek, FL",USA
"Seneca, SC",USA
"Crestwood, K.Y.",USA
"Spartanburg, SC",USA
"Williamston, SC",USA
"Mocksville, NC",USA
"Manhattan, IL",USA
"Travelers Rest, SC",USA
"Choctaw, OK",USA
"Waxahachie, TX",USA
"Midlothian, TX",USA
"Coppell, TX",USA
"Decatur, TX",USA
"Owasso, OK",USA
"Sand Springs, OK",USA
"Peaster, TX",USA
"McLoud, OK",USA
"Amarillo, TX",USA
"Holliday, TX",USA
"Yukon, OK",USA
"Forney, TX",USA
"Sunnyvale, TX",USA
"Kilgore, TX",USA
"Cedar Hills, Utah",USA
"Bountiful, UT",USA
"San Juan Capistrano, CA",USA
"Murray, UT",USA
"West Jordan, UT",USA
"Amherst, N.H.",USA
"Riverside, R.I.",USA
"Plymouth, Mass.",USA
"Providence, R.I.",USA
"LeClaire, Iowa",USA
"South Charleston, W.Va.",USA
"Calcutta, Ohio",USA
"Rockford, MI",USA
"Fisherville, KY",USA
"Columbus, IN",USA
"Waukesha, WI",USA
"Joliet, IL",USA
"Wooster, OH",USA
"Brownstown, IN",USA
"South Milwaukee, WI",USA
"Crawfordsville, IN",USA
"Carmel, IN",USA
"East Brunswick, N.J.",USA
"Ossining, N.Y.",USA
"Glendale, AZ",USA
"Manvel, TX",USA
"Metuchen, N.J.",USA
"North Canton, OH",USA
"Bay Village, OH",USA
"Wadsworth, OH",USA
"Elyria, OH",USA
"Medina, OH",USA
"Oakdale, PA",USA
"Barberton, OH",USA
"St. Charles, IL",USA
"Lorain, OH",USA
"Twinsburg, OH",USA
"Kirtland, OH",USA
"Fredericksburg, VA",USA
"Oneonta, NY",USA
"Farmingville, NY",USA
"Bremerton, WA",USA
"Hopewell Junction, NY",USA
"Deer Park, TX",USA
"Malverne, NY",USA
"North Potomac, MD",USA
"Lexington, MA",USA
"Northfield, MN",USA
"McLean, VA",USA
"Johnson City, TX",USA
"Leawood, KS",USA
"Woodland Hills, CA",USA
"Reston, VA",USA
"Edison, NJ",USA
"Menlo Park, CA",USA
"Sioux Falls, SD",USA
"Elkridge, MD",USA
"Fayetteville, GA",USA
"Catonsville, MD",USA
"Pearl River, N.Y.",USA
"Vernon, N.J.",USA
"Goffstown, N.H.",USA
"Bedford, N.H.",USA
"Londonderry, N.H.",USA
"Bloomington, IL",USA
"Concord, NC",USA
"Elk Grove, CA",USA
"Springfield, IL",USA
"Pleasant Hill, IA",USA
"Cheshire, CT",USA
"Manakin Sabot, VA",USA
"Prospect, KY",USA
"Radnor, PA",USA
"Wexford, PA",USA
"Richmond, VA",USA
"Ann Arbor, MI",USA
"La Mirada, CA",USA
"Schuylkill Haven, PA",USA
"Newark, DE",USA
"Lodi, OH",USA
"Manahawkin, NJ",USA
"Lynbrook, NY",USA
"Collegeville, PA",USA
"Central, SC",USA
"Honesdale, PA",USA
"Macungie, PA",USA
"Havertown, PA",USA
"West Orange, NJ",USA
"Commack, NY",USA
"Covington Township, PA",USA
"Washington, DC",USA
"Cape Girardeau, MO",USA
"Abingdon, IL",USA
"Willowbrook, IL",USA
"Raymore,MO",USA
"Sheldon, IL",USA
"Kewanee, IL",USA
"Morton, IL",USA
"Crown Point, IN",USA
"Ames, IA",USA
"Forsyth, IL",USA
"Medford, N.J.",USA
"Little Falls, N.J.",USA
"Pinehill, N.M.",USA
"Plattekill, N.Y.",USA
"Rock Hill, N.Y.",USA
"Bethpage, N.Y.",USA
"Papillion, NE",USA
"Coventry, RI",USA
"East Patchogue, N.Y.",USA
"New City, N.Y.",USA
"DeWitt, Iowa",USA
"Lafayette, LA",USA
"Pasadena, CA",USA
"Burbank, CA",USA
"Lotus, CA",USA
"Mountain Home, ID",USA
"Dassel, Minn.",USA
"Owatonna, Minn.",USA
"Mabel, Minn.",USA
"La Crescent, Minn.",USA
"Faribault, Minn.",USA
"Pine Island, Minn.",USA
"Plainview, Minn.",USA
"Lanesboro, Minn.",USA
"Portville, N.Y.",USA
"Hightstown, N.J.",USA
"Suffern, N.Y.",USA
"Denville, N.J.",USA
"Bergen, N.Y.",USA
"Goodhue, Minn.",USA
"Red Wing, Minn.",USA
"Cedar, Minn.",USA
"Bemidji, Minn.",USA
"Caledonia, Minn.",USA
"Carver, Minn.",USA
"Albertville, Minn.",USA
"Garden City South, N.Y.",USA
"Rye Brook, N.Y.",USA
"Mahopac, N.Y.",USA
"Yorktown Heights, N.Y.",USA
"Massapequa, N.Y.",USA
"Watertown, S.D.",USA
"Olivia, Minn.",USA
"Chaska, Minn.",USA
"Cleveland, Minn.",USA
"Sartell, Minn.",USA
Fort Mill SC,USA
"Newton, KS",USA
"Rawlins, WY",USA
"Caracas, Venezuela",USA
"Mulberry, FL",USA
"Smyrna, TN",USA
"Peoria, Ill.",USA
"Asbury, N.J.",USA
"Orion, Ill.",USA
"Nyack, N.Y.",USA
"Clemson, S.C.",USA
"Manville, N.J.",USA
"Etobicoke, Ont.",USA
"Alden, Minn.",USA
"Parker, S.D.",USA
"Canby, Minn.",USA
"Burnsville, Minn.",USA
"Apple Valley, Minn.",USA
"Peoria, Arz.",USA
"Rifton, N.Y.",USA
"Shkoder, Albania",USA
"LaSalle, Colo.",USA
"LaPorte, Ind.",USA
"Montgomery, AL",USA
"Bessemer, AL",USA
"Mobile, AL",USA
"Pleasant Grove, AL",USA
"Madison, AL",USA
"Chattanooga, TN",USA
"Auburn, AL",USA
"Irondale, AL",USA
"Broussard, LA",USA
"Laplace, LA",USA
"Biloxi, MS",USA
"Charles Town, W.Va.",USA
"Bayou Gauche, La.",USA
"Chuluota, Fla.",USA
"Onalaska, Wis.",USA
"Lees Summit, MO",USA
"Central Point, OR",USA
"Mount Horeb, WI",USA
"Hammond, WI",USA
"Oviedo, FL",USA
"Washington, MO",USA
"Rolla, MO",USA
"Herscher, IL",USA
"O'Fallon, MO",USA
"Bethany, MO",USA
"Colona, IL",USA
"Jacksonville, N.C.",USA
"Brick, N.J.",USA
"Lanoka Harbor, N.J.",USA
"Shorewood, Minn.",USA
"Plainfield, N.J.",USA
"Bay Shore, NY",USA
"Manhattan, NY",USA
"Yonkers, NY",USA
"Yorktown Heights, NY",USA
"Richmond Hill, NY",USA
"Monroe, CT",USA
"Rockaway, NY",USA
"Wellsburg, W. Va.",USA
"Leonia, N.J.",USA
"Allendale, N.J.",USA
"Piscataway, N.J.",USA
"Long Valley, N.J.",USA
"Hawthorne, N.J.",USA
"Franklin Lakes, N.J.",USA
"Williston Park, N.Y.",USA
"Cranford, N.J.",USA
"Davidson, N.C.",USA
"LaSalle, Mich.",USA
"Waterford, NY",USA
"Marcellus, NY",USA
"Old Forge, NY",USA
"Union Springs, NY",USA
"Douglaston, NY",USA
"Waterloo, NY",USA
"West Seneca, NY",USA
"Conesus, NY",USA
"Lake Luzerne, NY",USA
"Canastota, NY",USA
"Lake Forest, CA",USA
"Auburn, N.H.",USA
"Manchester, N.H.",USA
"Norfolk, VA",USA
"Ft. Lauderdale, FL",USA
"San Marino, CA",USA
"Palatine, IL",USA
"Rockville, MD",USA
"Ramsey, NJ",USA
"Milton, GA",USA
"Los Gatos, CA",USA
"Coto de Caza, CA",USA
"South Pasadena, CA",USA
"Far Rockaway, NY",USA
"Pomona, NY",USA
"NANUET, NY",USA
"Winchester, Mass.",USA
"East Greenwich, R.I.",USA
"Randleman, N.C.",USA
"Fort Lauerdale, FL",USA
"Pompano Beach, FL",USA
"Guaynabo, P.R.",USA
"Spicer, Minn.",USA
"Guaynabo, PR",USA
"Rapid City, SD",USA
"Old Tappan, N.J.",USA
"Dix Hills, N.Y.",USA
"Darien, CT",USA
"Winter Park, FL.",USA
"Geneva, FL",USA
"Lugoff, S.C.",USA
"State College, PA",USA
"Woodlawn, TX",USA
"Oberlin, OH",USA
"Frankfort, KY",USA
"Gansevoort, NY",USA
"Otisville, NY",USA
"Patchogue, NY",USA
"Long Beach, NY",USA
"Pearl River, NY",USA
"Montgomery, NY",USA
"Nassau, NY",USA
"Dryden, NY",USA
"Cortlandt Manor, NY",USA
"Shullsburg, WI",USA
"Galway, NY",USA
"East Patchogue, NY",USA
"Rockville Centre, NY",USA
"Ardsley, N.Y.",USA
"Nesconset, N.Y.",USA
"Dalton, PA",USA
"Sebastian, FL",USA
"Plattsburgh, N.Y.",USA
"Oswego, N.Y.",USA
"Elmira, N.Y.",USA
"Franklin Square, N.Y.",USA
Bucyrus,USA
"Carmel, N.Y.",USA
"Mount Vernon, N.Y.",USA
"Buchanon, N.Y.",USA
"South Windsor, CT",USA
"Sparta, N.J.",USA
"White Plains, N.Y.",USA
"Sugar Land, TX",USA
"Ebensbirg, PA",USA
"Davidsville, PA",USA
"Murrysville, PA",USA
"Bedford, PA",USA
"Rock Falls, IL",USA
"New Sewickley Township, PA",USA
"Johnstown, PA",USA
"Cranberry, PA",USA
"Plum Borough, PA",USA
"Westtown, N.Y.",USA
"Le Roy, N.Y.",USA
"Middle Island, N.Y.",USA
"Ballston Spa, N.Y.",USA
"Clifton Park, N.Y.",USA
"Mattituck, N.Y.",USA
"Saratoga Springs, N.Y.",USA
"White Plains, NY",USA
"Albany, N.Y.",USA
"Geneva, N.Y.",USA
"Peru, N.Y.",USA
"Slingerlands, N.Y.",USA
"Potsdam, N.Y.",USA
"Averill Park, N.Y.",USA
"Gansevoort, N.Y.",USA
"Mission, TX",USA
Cleveland OH,USA
"San Antionio, TX",USA
"Tampa Bay, FL",USA
"Bayside, N.Y.",USA
"Lynbrook, N.Y.",USA
"Bellerose, N.Y.",USA
"Saint James, N.Y.",USA
"Rodeo, CA",USA
"Torrance, CA",USA
"Long Island City, N.Y.",USA
"Centralia, IL",USA
"Maryland Heights, MO",USA
"Quincy, IL",USA
"St Charles, MO",USA
"Jasper, IN",USA
"Franklin, WI",USA
"Monte Vista, CO",USA
"Kenosha, WI",USA
"Woodland Park , NJ",USA
"Magnolia, NJ",USA
"Jackson, NJ",USA
"Wanaque, NJ",USA
"Fair Lawn, NJ",USA
Puerto Rico,USA
"Gilbert, AZ",USA
"Whittset, N.C.",USA
"Moyock, N.C.",USA
"Millville, UT",USA
"Milford, NE.",USA
"Lakeville, MN.",USA
"Goodland, KS.",USA
"Pearland, TX.",USA
"Johnston, R.I.",USA
"North Providence, R.I.",USA
"Cranston, R.I.",USA
"North Scituate, R.I.",USA
"Tiverton, R.I.",USA
"Saginaw, MICH.",USA
"Fayetteville, AR",USA
"Litchfield, AZ",USA
"Saint Louis, MO",USA
"Naperville, IL.",USA
"Staten Island, N.Y.",USA
"Campbell Hall, N.Y.",USA
"Sheepshead Bay, N.Y.",USA
"Homewood, IL",USA
"Somers, N.Y.",USA
"Charlotte, NC",USA
"New Hope, PA",USA
"Fairbanks, AK",USA
"New Woodstock, NY",USA
"Brentwood, CA",USA
"North Kingstown, R.I.",USA
"Barrington, N.H.",USA
"Milford, N.H.",USA
"Syosset, N.Y.",USA
"Marshall, Ind.",USA
"Aberdeen, MD",USA
"West NY, NJ",USA
"Newark, NJ",USA
"Lehi, UT",USA
"Camden, NJ",USA
"Warren, NJ",USA
"Arvada, CO",USA
"Linden, NJ",USA
"Bridgewater, NJ",USA
"Lake Geneva, WI",USA
"Elizabeth, NJ",USA
"Irvington, NJ",USA
"Farrell, PA",USA
"Lake George, N.Y.",USA
"North Babylon, N.Y.",USA
"Lino Lakes, Minn.",USA
"Scandia, Minn.",USA
"Morris, Minn.",USA
"Marshall, Minn.",USA
"Willmar, Minn.",USA
"Annandale, Minn.",USA
"Kimball, Minn.",USA
"Rice, Minn.",USA
"Barnesville, Minn.",USA
"Esko, Minn.",USA
"Columbia, MD",USA
"Desoto, TX",USA
"Rockford, IL",USA
"Prosper, TX",USA
"Merrillville, IN",USA
"Atlanta,GA",USA
"Centerville, Minn.",USA
"St. Joseph, Minn.",USA
"Wyoming, Minn.",USA
"Redwood Falls, Minn",USA
"Moorhead, Minn.",USA
"Jordan, Minn.",USA
"Roseville, Minn.",USA
"Scotia, NY",USA
"Moore, Oklahoma",USA
"Olean, N.Y.",USA
"Fayetteville, N.Y.",USA
"Virginia Beach, VA",USA
"Wynantskill, NY",USA
"New Hartford, N.Y.",USA
"West Falls, N.Y.",USA
"Canton, N.Y.",USA
"Trumansburg, N.Y.",USA
"Adams, N.Y.",USA
"Cazenovia, N.Y.",USA
"Millwood, N.Y.",USA
"Lusby, MD",USA
"Chesapeake City, MD",USA
"Severna Park, MD",USA
"Hollywood, MD",USA
"Germantown, MD",USA
"Redding, CT",USA
"Williamsburg, VA",USA
"Hagerstown, MD",USA
"California, MD",USA
"Onamia, Minn.",USA
"Savage, Minn.",USA
"Chatfield, Minn.",USA
"New York Mills, Minn.",USA
"McFarland, Wis.",USA
"Belle Mead, N.J.",USA
"Galloway, N.J.",USA
"Midland Park, N.J.",USA
"Duluth, Minn.",USA
"Biwabik, Minn.",USA
"Grand Forks, N.D.",USA
"Aberdeen, S.D.",USA
"Mora, Minn.",USA
"Big Lake, Minn.",USA
"Falcon Heights, Minn.",USA
"Minnetonka, Minn.",USA
"Lake Elmo, Minn.",USA
"Montgomery, Minn.",USA
"Becker, Minn.",USA
"Lodi, N.J.",USA
"Seaford, N.Y.",USA
"New Paltz, N.Y.",USA
"Justin, TX",USA
"Walla Walla, WA",USA
"Bonney Lake, WA",USA
"Fitchburg, WI",USA
"Redmond, WA",USA
"La Crosse, WI",USA
"Monroe, WA",USA
"Poulsbo, WA",USA
"University Place, WA",USA
"Cave Creek, AZ",USA
"Caldwell, N.J.",USA
"Glenville, NY",USA
"Brownsburg, IN",USA
"Arcadia, CA",USA
"Valrico, FL",USA
"Ardsley, NY",USA
"Galena, IL",USA
"Madison, NJ",USA
"Boulder, CO",USA
"Pittsford, NY",USA
"Lombard, IL",USA
"Sunnyvale, CA",USA
"Westport, CT",USA
"Greenlawn, NY",USA
"Tustin, CA",USA
"Milwaukee, WI",USA
"Winchester, MA",USA
"Chino Hills, CA",USA
"Minneapolis, MN",USA
