School,Name,Position,Class,Height,Hometown,High School
Montana State,Nellie Stevenson,Setter,Jr.,,"San Leandro, CA",San Leandro HS
Morehead State,Peighton Isley,Defensive Specialist,Jr.,,"Westfield, Ind.",Westfield HS
Morehead State,M.E. Hargan,Outside Hitter,So.,,"Elizabethtown, KY",Elizabethtown HS
Morehead State,Courtney Fitzgerald,Defensive Specialist,Fr.,,"Cleves, Ohio",Seton HS
Morehead State,Maycie Welborn,Right-Side Hitter,Jr.,,"Heyworth, Ill.",University HS
Morehead State,Sydney Wyman,Middle Blocker,Jr.,,"Auberry, CA",Nevada / Sierra HS
Morehead State,Amelia Nott,Middle Blocker,Fr.,,"Centerville, Ohio",Centerville HS
Morehead State,Ellie Whiteside,Defensive Specialist,Fr.,,"Paducah, Ky.",McCracken County HS
Morehead State,Brenna Bommer,Setter,R-Jr.,,"Manhattan Beach, CA",Mira Costa HS
Morehead State,Avery Ray,Outside Hitter,Fr.,,"Chattanooga, Tenn.",Chattanooga Christian School
Morehead State,Hollan Everett,Middle Blocker,Fr.,,"Norris City, Ill",Norris City-Omaha-Enfield High School
Morehead State,Irene Wogenstahl,Middle Blocker,R-Jr.,,"Crestview Hills, KY",Dixie Heights HS
Morehead State,Sydney Sennett,Setter,Fr.,,"Normal, Ill",Community West HS
Morehead State,Shea Hefner,Defensive Specialist,R-So.,,"Bridgeport, WV",West Virginia / Bridgeport HS
Navy,Hannah Hoover,DS/L,Jr.,,"Katy, Texas",Katy
Navy,Ally Alessio,L,Fr.,,"Scottsdale, Ariz.",Notre Dame Prep
Navy,Chris Stephenson,DS/L,Sr.,,"Leesburg, Va.",Riverside
Navy,Arleigh Hanson,S,Fr.,,"Alexandria, Va.",West Potomac
Navy,Anna Klemeyer,MB,Sr.,,"Sarasota, Fla.",Cardinal Mooney
Navy,Averi Miller,S,Sr.,,"Phoenix, Ariz.",Veritas Prep
Navy,Paige Buzzerio,OH,Fr.,,"Chino Hills, Calif.",Orange Lutheran
Navy,Armani Kenney,MB,Fr.,,"Hagerstown, Md.",North Hagerstown
Navy,Jamie Llewellyn,OH,Sr.,,"Port Deposit, Md.",The Tome School
Navy,Lilly Lutz,MB,Jr.,,"Dallas, Texas",Episcopal School
Navy,Lainey Feighery,S,So.,,"Herndon, Va.",Chantilly
Navy,Jordan Llewellyn,OH,Sr.,,"Port Deposit, Md.",The Tome School
Navy,Julia Humphrey,MB,So.,,"Stokesdale, N.C.",Northwest Guilford
Navy,Ashley Warren,OPP,Sr.,,"Pennington, N.J.",The Lawrenceville School
Navy,Katie Jackowski,MB,Jr.,,"Saint John, Ind.",Hanover Central
Navy,Maggie Bodman,MB,Sr.,,"Northbrook, Ill.",New Trier
Navy,Ava Toppin,OH/OPP,So.,,"Carolina Beach, N.C.",Green Level
Navy,Anuhea Hauanio-Lore,OH,So.,,"Honolulu, Hawaii",‘Iolani School
Navy,Natalie Andrew,OH,Fr.,,"Ridgefield, Wash.",Ridgefield
Navy,Rilee Sherman,OH,Sr.,,"Cibolo, Texas",Byron P. Steele II
Navy,Grace Burgoyne,MB,Fr.,,"Marshfield, Mass.",Notre Dame Academy
Navy,Doris Nelson,S/OPP,Jr.,,"Long Beach, Calif.",Wilson
North Dakota State,Baily Randall,Outside Hitter,So.,,"Sioux Falls, S.D.",Lincoln HS
North Dakota State,Eke Denessen,Setter,Jr.,,"Venlo, Netherlands",College Den Hulster
North Dakota State,Arianna Blohm,Middle Blocker,Fr.,,"Spring Valley, Minn.",Stewartville
North Dakota State,Ava Schmoll,Defensive Specialist,Sr.,,"Forest Lake, Minn.",Forest Lake HS
North Dakota State,Taylor Quan,Defensive Specialist/Libero,Sr.,,"Brooklyn Park, Minn.",Osseo HS
North Dakota State,Ali Hinze,Outside Hitter,Sr.,,"Maple Grove, Minn.",Osseo HS
North Dakota State,Emma Tallman,Middle Blocker,Fr.,,"Johnston, Iowa",Dowling Catholic
North Dakota State,Alexis Boling,Middle Blocker,Jr.,,"Waukesha, Wis.",Waukesha West HS
North Dakota State,Logan O'Brien,Defensive Specialist,Jr.,,"Fort Myers, Fla.",South Fort Myers HS
North Dakota State,Alex Lyle,Outside Hitter,Sr.,,"Maplewood, Minn.",Tartan HS
North Dakota State,Lauren Jansen,Outside Hitter,Fr.,,"Plainfield, Ill.",Plainfield North HS
North Dakota State,Kelley Johnson,Setter,Sr.,,"Eagan, Minn.",Eagan HS
North Dakota State,Morgan Middleton,Outside Hitter,Jr.,,"Clarion, Iowa",Clarion-Goldfield-Dows HS
North Dakota State,Ally Barth,Middle Blocker,So.,,"Verona, Wis.",Madison Edgewood of the Sacred Heart HS
Nicholls State,Taylor Heeb,Setter,So.,,"Baton Rouge, La.",Dutchtown HS
Nicholls State,Trinity Vinzant,Outside Hitter,Jr.,,"Denton, Texas",Decatur
Nicholls State,Mackenzie Pryor,Outside Hitter,So.,,"Hagerstown, Md.",Williamsport HS
Nicholls State,Gabrielle Barth,Defensive Specialist,So.,,"Annapolis, Md.",Oakdale HS
Nicholls State,Gracie Campbell,Outside Hitter,Fr.,,"Spring, Texas",Klein Oak HS
Nicholls State,Addison Phares,Outside Hitter,Fr.,,"Lafayette, Louisana",St. Thomas More Catholic HS
Nicholls State,Kendall Battistella,Setter/Defensive Specialist,Jr.,,"Slidell, La.",Pope John Paul II
Nicholls State,Rae Leano,Libero/Defensive Specialist,Jr.,,"Hillsboro, Ore.",Liberty
Nicholls State,Deniz Akgul,Outside Hitter,Fr.,,"Cigli, Turkey",Okyanus HS
Nicholls State,Tierney Terrell,Outside Hitter,Fr.,,"Slidell, La.",Northshore HS
Nicholls State,Paris Dixon,Middle Blocker,So.,,"Houston, Texas",Klein Cain HS
Nicholls State,Jhayla Bolden,Middle Blocker,Sr.,,"Plano, Texas",Sachse HS
Nicholls State,Autumn Perry,Outside Hitter,Fr.,,"Wylie, Texas",Prince of Peace Christian School
Nicholls State,Berra Soyler,Setter,Fr.,,"Bursa, Turkey",TED Bursa
Nicholls State,Ariana  Goode,Middle Blocker,Fr.,,"Spring, Texas",Klein Collins HS
Nicholls State,Tre'Nae Taylor,Middle Blocker,Fr.,,"Houma, La.",Terrebonne HS
Nicholls State,Shelby McGee,Outside Hitter,Jr.,,"Tampa, Fla.",Hudson HS
New Jersey Institute of Technology,Mariana Cova,OH,So.,,"Alcabideche, Portugal",Salesianos do Estoril
New Jersey Institute of Technology,Maddie Dennis,S,So.,,"Spring Branch, TX",Smithson Valley
New Jersey Institute of Technology,Adriana Goetz-Morales,RS,Gr.,,"Breinigsville, PA",Parkland
New Jersey Institute of Technology,Taylor West,MB,So.,,"Bolivar, OH",Tuscarawas Valley
New Jersey Institute of Technology,Sara Siefert,OH,Fr.,,"Canton, GA",Sequoyah
New Jersey Institute of Technology,Cami Augustine,OH,Jr.,,"Belleville, IL",Belleville East
New Jersey Institute of Technology,Campbell Walker,L/DS,Jr.,,"Alexandria, VA",Thomas Edison
New Jersey Institute of Technology,Doga Emil,L,So.,,"Istanbul, Turkey",özel acibadem Doga College
New Jersey Institute of Technology,Ines Varela,MB,Jr.,,"Lisbon, Portugal",Escola Secundária Camilo Castelo Branco
New Jersey Institute of Technology,Elley Torres,OH,Sr.,,"Newtown, PA",Pennsbury
New Jersey Institute of Technology,Rowan Schreiber,MB,Fr.,,"Madison, WI",Vel Phillips Memorial
New Jersey Institute of Technology,Kelle Anwander,RS,Jr.,,"Toms River, NJ",Toms River South
New Jersey Institute of Technology,Juliana  Impaglia,S,Gr.,,"Colonia, NJ",John F. Kennedy Memorial
New Jersey Institute of Technology,Olivia Grall,MB,Fr.,,"Waupaca, WI",Waupaca
New Jersey Institute of Technology,Kaitlyn Arias,L,Sr.,,"Wildomar, CA",Murrieta Valley
New Jersey Institute of Technology,Ashlynn Berns,S,Fr.,,"Union, NJ",Union
Northern Kentucky,Lillian Leiner,Defensive Specialist/Libero,Sr.,,"Indianapolis, Ind.",Hamilton Southeastern
Northern Kentucky,Lucy Cluxton,Defensive Specialist/Libero,R-So.,,"Cincinnati, Ohio",Seton
Northern Kentucky,Ava Hoying,Outside Hitter,Fr.,,"Dublin, OH",Bishop Watterson HS
Northern Kentucky,Shelby Porter,Opposite,Fr.,,"Grand Rapids, MI",Kenowa Hills HS
Northern Kentucky,Madison Tracy,Setter,So.,,"Versailles, Ky.",Woodford County
Northern Kentucky,Joy Banks,Outside Hitter,Jr.,,"Macedonia, Ohio",Nordonia
Northern Kentucky,Abby Kanakry,Middle Blocker/Opposite,Gr.,,"Grosse Pointe, Mich.",Grosse Pointe North
Northern Kentucky,Katy Yopko,Setter,Sr.,,"Cleveland, Ohio",Lake Catholic
Northern Kentucky,Jaya Parker,Outside Hitter,R-Fr.,,"Dayton, Ohio",Stivers School for the Arts
Northern Kentucky,Emory Guderian,Libero/Defensive Specialist,Fr.,,"Fort Wayne, IN",Carroll HS
Northern Kentucky,Skyy Smith,Outside Hitter,Sr.,,"Indianapolis, Ind.",Brownsburg
Northern Kentucky,Ivey Stocks,Middle Blocker,Fr.,,"Cincinnati, OH",Saint Ursula Academy
Northern Kentucky,Anna Burke,Defensive Specialist,Gr.,,"Louisville, Ky.",Sacred Heart Academy
Northern Kentucky,Raelyn Sanders,Middle Blocker,So.,,"Cincinnati, Ohio",Mercy McAuley HS
Northern Kentucky,Torie Houston,Setter/Right Side,Sr.,,"Covington, Ky.",Holy Cross
Northern Kentucky,Allie Siefke,Middle Blocker,Sr.,,"Cincinnati, Ohio",Saint Ursula Academy
Northern Kentucky,Zy'Aire Barr,Outside/Opposite,Fr.,,"Coral Springs, FL",St. Thomas Aquinas HS
New Mexico State,Darian Markham,Libero/Defensive Specialist,Sr.,,"McKinney, Texas",Boyd HS
New Mexico State,Maggie Lightheart,Outside Hitter/Right Side,Fr.,,"Las Cruces, N.M.",Mayfield HS
New Mexico State,Bella Castro,Libero/Defensive Specialist,Fr.,,"Las Cruces, N.M.",Centennial HS
New Mexico State,Anji Vishwanathan,Middle Blocker,So.,,"Wilmington, Del.",The Charter School of Wilmington
New Mexico State,Mia Daniel,Middle Blocker,Fr.,,"Missouri City, Texas",Fort Bend Hightower HS
New Mexico State,Morgan Stewart,Libero/Defensive Specialist,So.,,"Peoria, Ariz.",Millennium HS
New Mexico State,Sidney McIntosh,Outside Hitter,Jr.,,"Albuquerque, N.M.",La Cueva HS
New Mexico State,Ashley Herman,Outside Hitter/Right Side,So.,,"Bakersfield, Calif.",Bakersfield Christian
New Mexico State,Bianca Perez,Setter,So.,,"Litchfield, Ariz.",Millennium HS
New Mexico State,Kacia Brown,Outside Hitter/Right Side,R-Jr.,,"Waterloo, Iowa",Cedar Falls HS
New Mexico State,Aleka Darko,Middle Blocker/Outside Hitter,Jr.,,"Houston, Texas",Tomball HS
New Mexico State,Mari Sharp,Outside Hitter/Right Side,Sr.,,"Albuquerque, N.M.",La Cueva HS
New Mexico State,Peyton Castillo,Setter,So.,,"Las Vegas, Nev.",Sierra Vista HS
New Mexico State,Kaylee Peterson,Libero/Defensive Specialist,So.,,"Decatur, Texas",Decatur HS
New Mexico State,Jacqueline Gomez-Gallegos,Right Side,Fr.,,"Las Cruces, N.M.",Las Cruces HS
New Mexico State,Kaitlin Espiritu,Right Side/Outside Hitter,Sr.,,"Las Cruces, N.M.",Centennial HS
New Mexico State,Aspen Aldous,Setter,Jr.,,"Gilbert, Ariz.",Basha HS
New Mexico State,Ryleigh Whitekettle,Outside Hitter/Right Side,R-So.,,"Topsail Beach, N.C.",Dixon HS
New Mexico State,Starr Williams,Outside Hitter,R-So.,,"Ontario, Calif.",Colony HS
New Mexico State,Rilen Garcia,Setter,So.,,"Santa Teresa, N.M.",Santa Teresa HS
New Mexico State,Alexandria Connatser,Middle Blocker,R-Fr.,,"Tampa, Fla.",H.B. Plant HS
Northwestern State,Lorelei Freling,Libero,Fr.,,"Ruston, La.",Ruston HS
Northwestern State,Madisynne McQueen,Outside Hitter,So.,,"Fort Worth, Texas",Chisholm Trail HS
Northwestern State,Breanna Burrell,Outside Hitter,Jr.,,"Kingwood, Texas",Kingwood HS
Northwestern State,Piper Boydstun,Setter,Jr.,,"Spring, Texas",Oak Ridge HS
Northwestern State,Amina Attra,Setter,Jr.,,"Missouri City, Texas",Ridge Point HS
Northwestern State,Tessa Gerwig,Right Side,So.,,"Denton, Texas",Denton HS
Northwestern State,Perry Flannigan,Right Side,Jr.,,"Fayetteville, Ark.",Fayetteville HS
Northwestern State,Symone Wesley,Outside Hitter,Sr.,,"Grapevine, Texas",Grapevine HS
Northwestern State,Makenna Tryon,Outside Hitter,Fr.,,"Waller, Texas",Waller HS
Northwestern State,Reaghan Thompson,Middle Blocker,So.,,"Kemah, Texas",Clear Creek HS
Northwestern State,Ashlyn Svoboda,Libero,Jr.,,"Friendswood, Texas",Friendswood HS
Northwestern State,Teresa Garza,Outside Hitter,Jr.,,"Alvin, Texas",Alvin HS
Northwestern State,La'Treva  Kennedy,Middle Blocker,Sr.,,"College Station, Texas",Bryan HS
Northwestern State,Jordan Gamble,Middle Blocker,So.,,"Katy, Texas",Katy HS
Northwestern,Sienna Noordermeer,S,So.,5' 11'',"Los Angeles, Calif.",Village Christian HS
Northwestern,Drew Wright,OH,Fy.,5' 11'',"Hermosa Beach, Calif.",Mira Costa
Northwestern,Natalie Chizzo,OH,Sr.,6' 3'',"Oak Park, Ill.",Oak Park-River Forest HS
Northwestern,Maddy Chinn,OH,Gr.,6' 3'',"Oakland Township, Mich.",Notre Dame Prep
Northwestern,Alexa Rousseau,S,Sr.,6' 3'',"Bloomfield Hills, Mich.",Bloomfield Hills HS
Northwestern,Ellee  Stinson,DS/L,Jr.,5' 2'',"Yorktown, Ind.",Yorktown HS
Northwestern,Leilani  Dodson,MB,Sr.,6' 1'',"La Grange, Ill.",Nazareth Academy
Northwestern,Averie Hernandez,OH,So.,6' 2'',"Bloomington, Ill.",Normal Community West HS
Northwestern,Lauren Carter,S,So.,5' 10'',"Winterset, Iowa",Winterset
Northwestern,Ariel Amaya,OH,Jr.,6' 0'',"Plainfield, Ill.",Plainfield North HS
Northwestern,Ellie Husemann,MB,Gr.,6' 3'',"Eagan, Minn.",Eagan
Northwestern,Kennedy Hill,MB,So.,6' 1'',"Sherman Oaks, Calif.",Harvard-Westlake HS
Northwestern,Kathryn Randorf,OH,So.,6' 1'',"Chagrin Falls, Ohio",Gilmour Academy
Northwestern,Rylen Reid,OH,So.,5' 11'',"Rolling Meadows, Ill.",Fremd
Northwestern,Julia Sangiacomo,OH,Gr.,6' 5'',"Sonoma, Calif.",Justin-Sienna
Northwestern,Gigi Navarrete,DS/L,Fy.,5' 6'',"Palos Heights, Ill.",Mother McAuley
Ohio State,Sarah Sue Morbitzer,DS,Sr.,5' 6'',"Groveport, Ohio",Hamilton Township H.S.
Ohio State,Anna McClure,DS,So.,5' 8'',"Champaign, Ill.",The High School of St. Thomas
Ohio State,Kamiah Gibson,S,So.,6' 1'',"Medina, Ohio",Buckeye H.S. / West Virginia
Ohio State,Chelsea Thorpe,OH,So.,6' 3'',"Chicago, Ill.",Whitney M. Young
Ohio State,Anna Morris,MB / OPP,Jr.,6' 3'',"Mahwah, N.J.",Immaculate Heart Academy H.S. / Northwestern
Ohio State,Mia Tuman,S,Fr.,6' 0'',"Sewickley, Pa.",North Allegheny
Ohio State,Lauren Murphy,OH / RS,Fr.,6' 4'',"Round Rock, Texas",Round Rock H.S.
Ohio State,Sydney Taylor,DS,Jr.,5' 9'',"Clintonville, Ohio",Bishop Watterson
Ohio State,Meghan McCann,DS,Jr.,5' 9'',"Wayne, Pa.",Arch Bishop Carroll
Ohio State,Kaitlyn Hoffman,DS,Fr.,5' 8'',"Novi, Mich.",Novi H.S.
Ohio State,Rylee Rader,MB,Sr.,6' 2'',"Louisville, Ky.",Assumption H.S.
Ohio State,Zaria Ragler,MB,So.,6' 0'',"Gambrills, Md.",Arundel
Ohio State,Emily Londot,OH,Sr.,6' 3'',"Utica, Ohio",Utica H.S.
Ohio State,Grace Egan,OH,Fr.,6' 1'',"Sterling, Ill.",Sterling
Ohio State,Eloise Brandewie,MB,Fr.,6' 3'',"Columbus, Ohio",Bishop Hartley H.S.
Mississippi,Bailee Middleton,L,Jr.,,"Kansas City, Mo.",Liberty HS
Mississippi,Cammy Niesen,DS,So.,,"Cincinnati, Ohio",Roger Bacon
Mississippi,Payton Brgoch,MB,Sr.*,,"Parker, Colo.",Lutheran HS
Mississippi,Nia Washington,OH,So.,,"New Orleans, La.",Metairie Park Country Day
Mississippi,Vivian Miller,OH,So.,,"Jupiter, Fla.",Jupiter
Mississippi,Maggie  Miller,L,Sr.,,"Houston, Texas",Cypress Creek
Mississippi,Julia Dyess,OH,Jr.,,"Brandon, Miss.",Hartfield Academy
Mississippi,Sasha  Ratliff,MB,Sr.*,,"Atlanta, Ga.",Pace Academy
Mississippi,Tessa Jones,MB,Fr.,,"Cleves, Ohio",Seton
Mississippi,Shayla Meyer,OH,Fr.,,"Superior, Neb.",Superior
Mississippi,Aly Borellis,S,So.,,"Rochester, Mich.",Notre Dame Preparatory
Mississippi,Sommer Daniel,S,Sr.*,,"Tipton, Iowa",Tipton
Mississippi,Anna  Bair,OH,Sr.,,"St. Louis, Mo.",Ursuline Academy
Omaha,Olivia Tukuafu,Setter,Fr.,,"Mesa, Ariz.",Mountain View
Omaha,Kali Jurgensmeier,Outside Hitter,So.,,"Wahoo, Neb.",Bishop Neumann
Omaha,McKenna Ruch,Middle Blocker,Sr.,,"Omaha, Neb.",Millard North
Omaha,Kenedy Schaecher,Defensive Specialist,R-Jr.,,"Omaha, Neb.",Gretna
Omaha,Brilee Wieseler,Defensive Specialist,Jr.,,"Elkhorn, Neb.",Elkhorn South
Omaha,Brynlee Arnold,Right Side,So.,,"Glenwood, Iowa",Glenwood
Omaha,Morgan DeBow,Middle Blocker/Right Side,So.,,"Overland Park, Kan.",Blue Valley North
Omaha,Amanda Hardt,Outside Hitter,Fr.,,"Glendale, Ariz.",Deer Valley
Omaha,Shayla McCormick,Outside Hitter,Jr.,,"Omaha, Neb.",Omaha Skutt Catholic
Omaha,Erica Fava,Defensive Specialist,Jr.,,"Piacenza, Italy",Liceo Scentifico Respighi & Maize South
Omaha,Bryn McNair,Outside Hitter,Fr.,,"Imperial, Neb.",Chase County Schools
Omaha,Emily Huss,Middle Blocker,Fr.,,"Fairbury, Neb.",Fairbury
Omaha,Rachel Fairbanks,Outside Hitter,Gr.,,"Lansing, Kan.",Lansing
Omaha,Meghan Tiahrt,Defensive Specialist,Fr.,,"Sioux Falls, S.D.",O'Gorman
Omaha,Makayla Tiahrt,Defensive Specialist,Fr.,,"Sioux Falls, S.D.",O'Gorman
Omaha,Ivy Leuck,Setter,Fr.,,"Omaha, Neb.",Skutt Catholic
Omaha,Anika Ivester,Middle Blocker,Fr.,,"Cedar Rapids, Iowa",Xavier
Oral Roberts,Hannah Jackson,MB,Fr.,,"Carrollton, Texas",John Paul II HS
Oral Roberts,Nadia Wheeler,OH,Jr.,,"Wauwatosa, Wis.",Wauwatosa HS
Oral Roberts,Kedron Burk,MB,So.,,"Edmond, Okla.",Home School
Oral Roberts,Maite Solabarrieta,S,R-Jr.,,"Santiago, Chile",The Mayflower School
Oral Roberts,Breanna Rivas,DS/L,Jr.,,"Albuquerque, N.M.",Atrisco Heritage Academy HS
North Florida,Kailey McKnight,Outside Hitter,Jr.,,"Port St. Lucie, Fla.",St. Lucie West Centennial HS
North Florida,Morgan Wilson,Outside Hitter,Gr.,,"South Riding, Va.",Freedom HS
North Florida,Rocio Moro,Libero/Defensive Specialist,Sr.,,"San Juan, P.R.",San Juan School of Sports
North Florida,Mahalia White,Outside Hitter,Gr.,,"Canoga Park, Calif.",Chatsworth Charter HS
North Florida,Janelly Ceopa,Outside Hitter,R-So.,,"Lima, Peru",Saco Oliveros
North Florida,Mackenzie Piester,Opposite,So.,,"Carlsbad, Calif.",La Costa Canyon
North Florida,Anna Butler,Opposite,Jr.,,"Grand Rapids, Mich.",Byron Center HS
North Florida,Rylee Moorhead,Outside Hitter,Jr.,,"Anderson, S.C.",T.L. Hanna HS
North Florida,Yarimar Francis-Garay,Middle Blocker,Fr.,,"Carolina, P.R.",Saint Francis HS
North Florida,Amy Burkhardt,Outside Hitter,Jr.,,"Ponte Vedra Beach, Fla.",Ponte Vedra HS
North Florida,Annie Antar,Setter,R-So.,,"Klein, Texas",Klein HS
North Florida,Maymie Guthrie,Defensive Specialist,So.,,"Nolensville, Tenn.",Nolensville HS
North Florida,Kelly Negron,Setter,Gr.,,"Arecibo, P.R.",Trabuco Hills
North Florida,Jessica Buis,Outside Hitter,Jr.,,"Oviedo, Fla.",Hagerty HS
North Florida,Mya Sopata,Outside Hitter,So.,,"Northfield, Ohio",Nordonia HS
North Florida,Emma Pohlmann,Outside Hitter/Defensive Specialist,Fr.,,"Birmingham, Ala.",Chelsea HS
North Florida,Maddie Boyd,Middle Blocker,Sr.,,"Portola, Calif.",Portola HS
North Florida,Kyla Solis,Middle Blocker,Jr.,,"Castroville, Texas",Medina Valley High School
North Florida,Kierstyn McFall,Middle Blocker,So.,,"Klein, Texas",Klein HS
Penn State,Taylor Trammell,MB,Sr.,,"Lexington, Ky.",Henry Clay
Penn State,Maddy Bilinovic,L/DS,Sr.,,"Independence, Ohio",Independence
Penn State,Gillian Grimes,L/DS,So.,,"Westchester, Ill.",Nazareth Academy
Penn State,Karis Willow,OH,Fr.,,"Arlington, Ohio",Liberty Benton
Penn State,Mac Podraza,S,Gr.,,"Sunbury, Ohio",Big Walnut
Penn State,Kate Lally,S,Fr.,,"State College, Pa.",State College
Penn State,Macy Van Den Elzen,RS,Sr.,,"Macungie, Pa.",Emmaus
Penn State,Camryn Hannah,RS,Sr.,,"Lansing, Ill.",Marist
Penn State,Jess Mruzik,OH,Sr.,,"Livonia, Mich.",Farmington Hills Mercy
Penn State,Anjelina Starck,OH,Jr.,,"Colorado Springs, Colo.",Rampart
Penn State,Joce Nathan,DS,Fr.,,"Wilmington, Del.",Wilmington Friends School
Penn State,Cassie Kuerschen,L/DS,Jr.,,"Knoxville, Tenn.",Knoxville Catholic
Penn State,Ally Van Eekeren,S,Gr.,,"Naperville, Ill.",Benet Academy
Penn State,Lina Perugini,DS,Gr.,,"Bethlehem, Pa.",Liberty
Penn State,Zoe Weatherington,OH/RS,Sr.+,,"Charlotte, N.C.",Charlotte Country Day School
Penn State,Alexa Markley,OH/RS,So.,,"Peachtree City, Ga.",McIntosh
Penn State,Allie Holland,MB,Sr.,,"Hilliard, Ohio",Hilliard Bradley
Penn State,Catherine Burke,MB,Fr.,,"Glenview, Ill.",Loyola Academy
Penn State,Quinn Menger,DS/S,Jr.,,"Powhatan, Va.",St. Catherine's School
Portland,Maui Robins,Outside Hitter,So.,,"Kalihi, Hawai'i",Kamehameha Schools Kapalama
Portland,Valerie  Bruk,Outside Hitter,Jr.,,"San Mateo, Calif.",San Mateo HS
Portland,Havannah  Hoeft,Setter,Fr.,,"Belmont, Calif.",St. Francis HS
Portland,Tatum  Isa,Defensive Specialist,Fr.,,"Honolulu, Hawai'i",Moanalua HS
Portland,Maddie Corpe,Setter,Fr.,,"Keizer, Ore.",McNary HS
Portland,Larkin Chock,Defensive Specialist,Rf.,,"Belmont, Calif.",Carlmont HS
Portland,Kili Robins,Defensive Specialist,Gr.,,"Kalihi, Hawai'i",Kamehameha Schools Kapalama
Portland,Lucia Busso,Outside Hitter,So.,,"Pino Torinese, Italy",Liceo Statale Augusto Monti
Portland,Leonie Freytag,Outside Hitter,So.,,"Berlin, Germany",Schul und Leistungssportzentrum Berlin
Portland,Elena Bullemer,Setter,Jr.,,"Berlin, Germany",Schul und Leistungssportzentrum Berlin
Portland State,Makayla Lewis,Outside Hitter,R-Sr.,,"Fresno, Calif.",Central HS
Portland State,Paige Stepaniuk,Libero/Defensive Specialist,Fr.,,"Ridgefield, Wash.",Ridgefield HS
Portland State,Ashleigh Barto,Middle Blocker,Sr.,,"Phoenix, Ariz.",Horizon HS
Portland State,Madison Friebel,Setter,Sr.,,"Redding, Calif.",University Prep
Portland State,Jasmine Powell,Outside Hitter,R-Sr.,,"Oakland, Calif.",Bishop O'Dowd HS
Portland State,Naomi White,Middle Blocker,Fr.,,"Las Vegas, Nev.",Palo Verde HS
Portland State,Danica Wulf,Outside Hitter,So.,,"Laguna Niguel, Calif.",Mission Viejo HS
Portland State,Delaney Nicoll,Outside Hitter,Jr.,,"Ridgefield, Wash.",Ridgefield HS
Portland State,Ella Hartford,Setter,Jr.,,"Arroyo Grande, Calif.",Arroyo Grande HS
Portland State,Sophia Meyers,Outside Hitter,Jr.,,"Maple Valley, Wash.",Eastside Catholic HS
Portland State,VaiLin Tagaloa,Setter,R-So.,,"Las Vegas, Nev.",Shadow Ridge HS
Portland State,Kendra Duffey,Outside Hitter,So.,,"Aliso Viejo, Calif.",Aliso Niguel HS
Portland State,Kate Hansen,Libero/Defensive Specialist,Jr.,,"Everett, Wash.",Glacier Peak HS
Portland State,Devon DeNecochea,Outside Hitter/Opposite,Fr.,,"San Diego, Calif.",Canyon Crest Academy
Portland State,Gabby Hollins,Outside Hitter,Sr.,,"Canyon Lake, Calif.",Paloma Valley HS
Portland State,Lauryn Anderson,Middle Blocker,R-Sr.,,"West Hills, Calif.",El Camino Real Charter HS
Quinnipiac,Aryanah Diaz,Outside Hitter/Opposite,Gr.,,"Miami, Fla.",Riviera Preparatory School
Quinnipiac,Leilani-kai Giusta,Outside Hitter,FY,,"Kane’ohe, Hawaii",Moanalua
Quinnipiac,Alexandra Tennon,Opposite,Jr.,,"Richmond, Tex.",George Ranch
Quinnipiac,Fa'avae Kimsel Moe,Libero,Jr.,,"Waianae, Hawaii",Punahou School
Quinnipiac,Yagmur Gunes,Outside Hitter,So.,,"Bursa, Turkey",Sahinkaya Academy
Quinnipiac,Milena Silva,Middle Blocker,So.,,"Sao Caetano, Brazil",Colégio Eduardo Gomes
Quinnipiac,Chloe Ka'ahanui,Setter,Sr.,,"Honolulu, Hawaii",Punahou School
Quinnipiac,Tuana Turhan,Middle Blocker,So.,,"Ankara, Turkey",Final Private Anatolian High School Of Ankara
Quinnipiac,Ginevra Giovagnoni,Outside Hitter,So.,,"Montale Rangone, Italy",Istituto Sacro Cuore Mondena
Quinnipiac,Damla Gunes,Setter,So.,,"Bursa, Turkey",Sahinkaya Academy
Quinnipiac,Lexi Morse,Middle Blocker,Sr.,,"Tampa, Fla.",Wharton High School
Quinnipiac,Cynthia Skenderi,Opposite,FY,,"Little Neck, N.Y.",Mary Louis Academy
Quinnipiac,Bailey Brashear,Middle Blocker,So.,,"Morehead, KY.",Rowan County Senior High School
Murray State,Gabriela Felix-Baeza,Libero,So.,,"Guadalajara, Mexico",American School Foundation
Murray State,Paige Brock,Setter,Fr.,,"Morgantown, W.V.",Morgantown High School
Murray State,Duru Ozkan,L/DS,Jr.,,"Ankara, Turkey",Ankara Ataturk High School
Murray State,Julia  Fullop,Outside Hitter,So.,,"Poseyville, Ind.",North Posey HS
Murray State,Dahlia Miller,Libero,Sr.,,"Pearland, Texas",Glenda Dawson HS
Murray State,Emma Kailiponi,Libero,Gr.,,"Anaheim, Calif.",Mayfair HS
Murray State,Federica Nuccio,Outside Hitter,So.,,"Frossasco, Italy",Via De'Rochis HS
Murray State,Elisa Dozio,Middle Blocker,Gr.,,"Triuggio, Italy",Don Bosco Institute
Murray State,Ella Vogel,Outside Hitter,So.,,"Cape Girardeau, Mo.",Cape Central HS
Murray State,Haidi Miliou,Middle Blocker,So.,,"Athens, Greece",Lyceum of Gerakas HS
Murray State,Darci Metzger,Outside Hitter,Sr.,,"Collinsville, Ill.",Collinsville HS
